video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,214,2,3,1240,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2093,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2538,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7250,12,62,45600,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1660,27,31,12400,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,724,4,7,4564,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,772,3,22,4661,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3650,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2515,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,215,2,3,1243,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2093,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2538,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7250,12,62,45600,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1660,27,31,12400,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,724,4,7,4564,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,772,3,22,4661,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3650,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2515,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,228,2,3,1332,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2100,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2543,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7286,12,62,45800,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1660,27,31,12500,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,724,4,7,4566,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,772,3,22,4663,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3650,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2515,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,228,2,3,1334,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2100,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2543,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7286,12,63,45800,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1660,27,31,12500,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,724,4,7,4566,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,772,3,22,4663,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3650,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2515,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,228,2,3,1335,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2101,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2543,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7288,12,64,45800,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1660,27,31,12500,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,724,4,7,4566,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,772,3,22,4663,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3650,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2515,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,254,2,3,1489,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2124,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2573,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7426,12,65,46900,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1668,27,31,12500,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,726,4,7,4584,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,773,3,22,4680,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3664,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2519,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,254,2,3,1496,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2125,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2574,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413052428725308677,2024-09-10T12:29:37,90,SN,7450,12,65,47100,Compilation ref sénégalais🤣🤣#tiktoksenegal #humour #bestrefsenegalais ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412748112642526469,2024-09-09T16:48:48,20,SN,1668,27,31,12500,Bruh made a whole new dance 🤣🔥 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #fail #gorillatgifdancechallenge ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412736934964923654,2024-09-09T16:05:23,14,SN,726,4,7,4584,"La geek, le otaku et celle qui suit jamais les règles ✨📚  @Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #leluxe #humour #streetwearfashion ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7412732683152936197,2024-09-09T15:48:55,9,SN,773,3,22,4681,Streetwear style edition ✨,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409699732714573062,2024-09-01T11:39:29,28,SN,457,3,14,3664,Vous aimez mon makeup 😍?? j’ai posté le TUTO sur -> @onlythebellaa 🤭✨ ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7409452802088406278,2024-08-31T19:41:15,13,SN,297,0,10,2519,Le Makeup Grunge 😍🤭✨>>>> #makeuptransition #trendytransition #fyp ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7305133418147269894,2023-11-24T15:48:40,10,US,15900,76,75,125500,🤣🤣🚶🏾‍♀️,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7366750538739797254,2024-05-08T17:54:36,34,SN,18400,137,215,130400,Comment j’ai pu passer à côté de cette transition 🥲😮‍💨🧎🏾‍♀️ (ib: @_JUSTMERA🖤 ) #charminbella ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7175249155089059077,2022-12-09T15:31:23,8,US,32700,40,90,239000,Tout ce que je porte ainsi que le sac vient de : @Darkaseclothes une nouvelle marque qui vient d’ouvrir à Dakar.  Go jeter un coup d’œil ! Insta : @darkaseclothes ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413911580603141381,2024-09-12T20:03:32,13,SN,254,2,3,1496,Si cette vidéo était un film quel titre lui donnerez-vous ?? 🤌🏾 #capcutedit #charminbella #oldschoolvibes #maincharactertrend ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413110985084472582,2024-09-10T16:16:52,7,SN,229,5,5,2125,"On a tout tenté mais ça nous a pas laisser faire, tout laisse🤣 @Ethereal🪼🫧 @𝗠4𝗦𝗦™️#failvideo #ptd#ptdrrantsvspetite  ",False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
7413094812145995014,2024-09-10T15:14:05,22,SN,366,3,10,2574,@Ethereal🪼🫧 @𝗠4𝗦𝗦™️ #humour #streetsdojacat ,False,,charminbella,Bella🌹🇸🇳,,,,,,False,,,
