video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7413155255422045446,2024-09-10T19:08:36,11,BR,2553,10,22,36900,tão correta pra passar por tudo isso tadinha 👀,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7412782192675261701,2024-09-09T19:01:00,41,BR,9291,8,25,117800,alô? é do CAPS? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411655224835755270,2024-09-06T18:07:46,192,BR,23300,1702,433,255300,Ela mudou 🤍 📖  #texto #livro #creatorsearchinsights #imjustagirl ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411646454537768197,2024-09-06T17:33:46,42,BR,2414,2,37,38100,os bastidores 🎥😬😬😬  #presa #familiaétudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410943401895431430,2024-09-04T20:05:34,41,BR,3061,9,44,46600,"EU SOU RICAAA, RICAAAAA #familiaÉTudo ",False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410239703766846726,2024-09-02T22:34:51,96,BR,15900,27,68,169800,#domingaocomhuck ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410026681454365957,2024-09-02T08:48:11,15,BR,2161,11,86,48000,Olivia Newton-John pra batalha de Lip Sync ♥️ #domingao #lipsync ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7407970190912130310,2024-08-27T19:47:54,96,BR,10100,24,57,132200,a Jéssica descobrindo que só é boa de mira mesmo 😂😂😂😂😂😂 #FamiliaÉTudo #novela #rafakalimann ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402753537412795654,2024-08-13T18:24:41,73,BR,3241,38,152,60500,como você fala na sua região?#minasgerais #sotaque ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402751254377647365,2024-08-13T18:15:47,80,BR,7532,59,43,118900,to muito tarsila 😂😂😂😂,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7401223181987597574,2024-08-09T15:26:05,15,BR,5828,10,29,121400,desfecho de Jessiquinha prometeeeeee #novela #familiaéTudo #personagem ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7399780043544661254,2024-08-05T18:05:55,251,BR,6002,47,157,138500,Hábito e Gratidão ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7397988682000600326,2024-07-31T22:14:34,82,BR,18500,73,101,281500,Ele tem uma exposição incrível de fotografias com obras lindas e fortes que ele faz e todas são consequências de um unico registro. Essa sempre foi a minha preferida. Amei meu presente 🥰 ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7394604232071990534,2024-07-22T19:21:08,30,BR,2783,81,39,976100,"A @maybellinebr trouxe a nova base Fit Me Fresh Tint, com vitamina C e FPS 50 ela é o puro suco da make com skincare e eu tô doida pra saber o que vocês acharam desse suquinho, corram pra experimentar! #FreshTintComVitaminaC #PuroSucoMaybellineNY #MaybellineNYBrasil #publi",True,,rkalimann,Rafa Kalimann,,,,,,True,,,
7379226697389985029,2024-06-11T08:48:26,111,BR,21000,43,131,322700,E NASCE UM NOVO PLANO 😂 será que ela consegue? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7378918686905601286,2024-06-10T12:53:11,24,BR,7715,25,66,210100,Quando toca essa  ✨🥹,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7413155255422045446,2024-09-10T19:08:36,11,BR,2553,10,22,36900,tão correta pra passar por tudo isso tadinha 👀,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7412782192675261701,2024-09-09T19:01:00,41,BR,9292,8,25,117800,alô? é do CAPS? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411655224835755270,2024-09-06T18:07:46,192,BR,23300,1702,433,255300,Ela mudou 🤍 📖  #texto #livro #creatorsearchinsights #imjustagirl ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411646454537768197,2024-09-06T17:33:46,42,BR,2414,2,37,38100,os bastidores 🎥😬😬😬  #presa #familiaétudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410943401895431430,2024-09-04T20:05:34,41,BR,3061,9,44,46600,"EU SOU RICAAA, RICAAAAA #familiaÉTudo ",False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410239703766846726,2024-09-02T22:34:51,96,BR,15900,27,68,169800,#domingaocomhuck ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410026681454365957,2024-09-02T08:48:11,15,BR,2161,11,86,48000,Olivia Newton-John pra batalha de Lip Sync ♥️ #domingao #lipsync ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7407970190912130310,2024-08-27T19:47:54,96,BR,10100,24,57,132200,a Jéssica descobrindo que só é boa de mira mesmo 😂😂😂😂😂😂 #FamiliaÉTudo #novela #rafakalimann ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402753537412795654,2024-08-13T18:24:41,73,BR,3241,38,152,60500,como você fala na sua região?#minasgerais #sotaque ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402751254377647365,2024-08-13T18:15:47,80,BR,7532,59,43,118900,to muito tarsila 😂😂😂😂,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7401223181987597574,2024-08-09T15:26:05,15,BR,5828,10,29,121400,desfecho de Jessiquinha prometeeeeee #novela #familiaéTudo #personagem ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7399780043544661254,2024-08-05T18:05:55,251,BR,6002,47,157,138500,Hábito e Gratidão ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7397988682000600326,2024-07-31T22:14:34,82,BR,18500,73,101,281500,Ele tem uma exposição incrível de fotografias com obras lindas e fortes que ele faz e todas são consequências de um unico registro. Essa sempre foi a minha preferida. Amei meu presente 🥰 ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7394604232071990534,2024-07-22T19:21:08,30,BR,2783,81,39,976100,"A @maybellinebr trouxe a nova base Fit Me Fresh Tint, com vitamina C e FPS 50 ela é o puro suco da make com skincare e eu tô doida pra saber o que vocês acharam desse suquinho, corram pra experimentar! #FreshTintComVitaminaC #PuroSucoMaybellineNY #MaybellineNYBrasil #publi",True,,rkalimann,Rafa Kalimann,,,,,,True,,,
7379226697389985029,2024-06-11T08:48:26,111,BR,21000,43,131,322700,E NASCE UM NOVO PLANO 😂 será que ela consegue? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7378918686905601286,2024-06-10T12:53:11,24,BR,7715,25,66,210100,Quando toca essa  ✨🥹,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7413155255422045446,2024-09-10T19:08:36,11,BR,2553,10,22,36900,tão correta pra passar por tudo isso tadinha 👀,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7412782192675261701,2024-09-09T19:01:00,41,BR,9292,8,25,117800,alô? é do CAPS? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411655224835755270,2024-09-06T18:07:46,192,BR,23300,1702,433,255300,Ela mudou 🤍 📖  #texto #livro #creatorsearchinsights #imjustagirl ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411646454537768197,2024-09-06T17:33:46,42,BR,2414,2,37,38100,os bastidores 🎥😬😬😬  #presa #familiaétudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410943401895431430,2024-09-04T20:05:34,41,BR,3061,9,44,46600,"EU SOU RICAAA, RICAAAAA #familiaÉTudo ",False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410239703766846726,2024-09-02T22:34:51,96,BR,15900,27,68,169800,#domingaocomhuck ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410026681454365957,2024-09-02T08:48:11,15,BR,2161,11,86,48000,Olivia Newton-John pra batalha de Lip Sync ♥️ #domingao #lipsync ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7407970190912130310,2024-08-27T19:47:54,96,BR,10100,24,57,132200,a Jéssica descobrindo que só é boa de mira mesmo 😂😂😂😂😂😂 #FamiliaÉTudo #novela #rafakalimann ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402753537412795654,2024-08-13T18:24:41,73,BR,3241,38,152,60500,como você fala na sua região?#minasgerais #sotaque ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402751254377647365,2024-08-13T18:15:47,80,BR,7532,59,43,118900,to muito tarsila 😂😂😂😂,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7401223181987597574,2024-08-09T15:26:05,15,BR,5828,10,29,121400,desfecho de Jessiquinha prometeeeeee #novela #familiaéTudo #personagem ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7399780043544661254,2024-08-05T18:05:55,251,BR,6002,47,157,138500,Hábito e Gratidão ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7397988682000600326,2024-07-31T22:14:34,82,BR,18500,73,101,281500,Ele tem uma exposição incrível de fotografias com obras lindas e fortes que ele faz e todas são consequências de um unico registro. Essa sempre foi a minha preferida. Amei meu presente 🥰 ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7394604232071990534,2024-07-22T19:21:08,30,BR,2783,81,39,976100,"A @maybellinebr trouxe a nova base Fit Me Fresh Tint, com vitamina C e FPS 50 ela é o puro suco da make com skincare e eu tô doida pra saber o que vocês acharam desse suquinho, corram pra experimentar! #FreshTintComVitaminaC #PuroSucoMaybellineNY #MaybellineNYBrasil #publi",True,,rkalimann,Rafa Kalimann,,,,,,True,,,
7379226697389985029,2024-06-11T08:48:26,111,BR,21000,43,131,322700,E NASCE UM NOVO PLANO 😂 será que ela consegue? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7378918686905601286,2024-06-10T12:53:11,24,BR,7715,25,66,210100,Quando toca essa  ✨🥹,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7413155255422045446,2024-09-10T19:08:36,11,BR,2553,10,22,36900,tão correta pra passar por tudo isso tadinha 👀,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7412782192675261701,2024-09-09T19:01:00,41,BR,9294,8,25,117800,alô? é do CAPS? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411655224835755270,2024-09-06T18:07:46,192,BR,23300,1702,433,255300,Ela mudou 🤍 📖  #texto #livro #creatorsearchinsights #imjustagirl ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7411646454537768197,2024-09-06T17:33:46,42,BR,2414,2,37,38100,os bastidores 🎥😬😬😬  #presa #familiaétudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410943401895431430,2024-09-04T20:05:34,41,BR,3061,9,44,46600,"EU SOU RICAAA, RICAAAAA #familiaÉTudo ",False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410239703766846726,2024-09-02T22:34:51,96,BR,15900,27,68,169800,#domingaocomhuck ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7410026681454365957,2024-09-02T08:48:11,15,BR,2161,11,86,48000,Olivia Newton-John pra batalha de Lip Sync ♥️ #domingao #lipsync ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7407970190912130310,2024-08-27T19:47:54,96,BR,10100,24,57,132200,a Jéssica descobrindo que só é boa de mira mesmo 😂😂😂😂😂😂 #FamiliaÉTudo #novela #rafakalimann ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402753537412795654,2024-08-13T18:24:41,73,BR,3241,38,152,60500,como você fala na sua região?#minasgerais #sotaque ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7402751254377647365,2024-08-13T18:15:47,80,BR,7532,59,43,118900,to muito tarsila 😂😂😂😂,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7401223181987597574,2024-08-09T15:26:05,15,BR,5828,10,29,121400,desfecho de Jessiquinha prometeeeeee #novela #familiaéTudo #personagem ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7399780043544661254,2024-08-05T18:05:55,251,BR,6002,47,157,138500,Hábito e Gratidão ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7397988682000600326,2024-07-31T22:14:34,82,BR,18500,73,101,281500,Ele tem uma exposição incrível de fotografias com obras lindas e fortes que ele faz e todas são consequências de um unico registro. Essa sempre foi a minha preferida. Amei meu presente 🥰 ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7394604232071990534,2024-07-22T19:21:08,30,BR,2783,81,39,976100,"A @maybellinebr trouxe a nova base Fit Me Fresh Tint, com vitamina C e FPS 50 ela é o puro suco da make com skincare e eu tô doida pra saber o que vocês acharam desse suquinho, corram pra experimentar! #FreshTintComVitaminaC #PuroSucoMaybellineNY #MaybellineNYBrasil #publi",True,,rkalimann,Rafa Kalimann,,,,,,True,,,
7379226697389985029,2024-06-11T08:48:26,111,BR,21000,43,131,322700,E NASCE UM NOVO PLANO 😂 será que ela consegue? #FamiliaÉTudo ,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
7378918686905601286,2024-06-10T12:53:11,24,BR,7715,25,66,210100,Quando toca essa  ✨🥹,False,,rkalimann,Rafa Kalimann,,,,,,True,,,
